Model,RMSE,MAE,R²,Exp.Var,CV R² Mean,CV R² Std
Lasso Regression,3.124,2.513,0.9838,0.9839,0.9833,0.0016
ElasticNet,3.128,2.529,0.9838,0.9838,0.9824,0.0017
Ridge Regression,3.136,2.516,0.9837,0.9837,0.9832,0.0016
Bayesian Ridge,3.137,2.516,0.9837,0.9837,0.9832,0.0016
Linear Regression,3.152,2.517,0.9836,0.9836,0.9832,0.0016
Extra Trees,3.43,2.708,0.9805,0.9805,0.9791,0.0022
Random Forest,3.501,2.78,0.9797,0.9797,0.9786,0.0016
Gradient Boosting,3.54,2.807,0.9793,0.9793,0.9786,0.0019
MLP Neural Net,3.606,2.942,0.9785,0.9785,0.9678,0.0042
AdaBoost,3.668,3.0,0.9777,0.9779,0.9758,0.0025
SVR (RBF),3.7,3.006,0.9773,0.9775,0.9685,0.0056
Decision Tree,4.443,3.465,0.9673,0.9677,0.9612,0.0039
KNN Regressor,4.937,3.995,0.9596,0.961,0.9565,0.0019
